 frameClass  mode  dx2  dy2  dxfix  dyfix  integx  integy  quality  dis  lidarf_data 
  51  2  0  0  0  0  -2.44  5.37  255  0 0
  51  1  0  0  0  0  -2.44  5.37  255  0 0
  1  1  0  0  0  0  -2.44  5.37  255  0 0
  1  1  0  0  0  0  -2.44  5.37  255  0 0
  1  1  0  0  0  0  -2.44  5.37  255  0 0
  51  2  0  0  0  0  -3  5.29  255  0 0
  1  2  0  0  0  0  -3  5.29  255  0 0
  1  2  0  0  0  0  -3  5.29  255  0 0
  4  2  0  0  0  0  -3  5.29  255  0 0
  1  2  0  0  0  0  -3  5.29  255  0 0
  1  2  0  0  0  0  -3  5.29  255  0 0
  1  2  0  0  0  0  -3  5.29  255  0 0
  1  2  0  0  0  0  -3  5.29  255  0 0
  1  2  0  0  0  0  -3  5.29  255  0 0
  51  0  0  0  0  0  -3  5.29  255  0 0
  1  0  0  0  0  0  -3  5.29  255  0 0
  51  2  0  0  0  0  -3.01  5.29  255  0 0
  51  2  0  0  0  0  -3.01  5.29  255  0 0
  1  2  0  0  0  0  -3.01  5.29  255  0 0
  51  2  0  0  0  0  -3.01  5.29  255  0 0
  1  2  0  0  0  0  -3.01  5.29  255  0 0
  1  2  0  0  0  0  -3.01  5.29  255  0 0
  51  1  0  0  0  0  -3.01  5.29  255  0 0
  1  1  0  0  0  0  -3.01  5.29  255  0 0
  1  1  0  0  0  0  -3.01  5.29  255  0 0
  1  1  0  0  0  0  -3.01  5.29  255  0 0
  51  2  0  0  0  0  -3.01  5.29  255  0 0
  51  2  0  0  0  0  -3.01  5.29  255  0 0
  1  2  0  0  0  0  -3.01  5.29  255  0 0
  51  2  0  0  0  0  -3.01  5.29  255  0 0
  51  1  0  0  0  0  -3.01  5.29  255  0 0
  51  1  0  0  0  0  -3.01  5.29  255  0 0
  51  1  0  0  0  0  -3.01  5.29  255  0 0
  1  1  0  0  0  0  -3.01  5.29  255  0 0
  1  2  -2.56  0  156.16  -219.72  5.11  -260.99  255  0 0
  1  2  -2.56  0  156.16  -219.72  5.11  -260.99  255  0 0
  1  2  -2.56  0  156.16  -219.72  5.11  -260.99  255  0 0
  1  2  -2.56  0  156.16  -219.72  5.11  -260.99  255  0 0
  1  2  -2.56  0  156.16  -219.72  5.11  -260.99  255  0 0
  51  2  0  0  0  0  -3.01  5.29  255  0 0
  51  2  0  0  0  0  -3.01  5.29  255  0 0
  51  2  0  0  0  0  -3.01  5.29  255  0 0
  51  2  0  0  0  0  -3.01  5.29  255  0 0
  34  2  0  0  0  0  -3.01  5.29  255  1.79 0
  1  2  0  0  0  0  -3.01  5.29  255  1.79 0
  1  2  0  0  0  0  -3.01  5.29  255  1.79 0
  1  2  0  0  0  0  -3.01  5.29  255  1.79 0
  1  2  0  0  0  0  -3.01  5.29  255  1.79 0
  1  2  0  0  0  0  -3.01  5.29  255  1.79 0
  34  2  0  0  0  0  -3.01  5.29  255  1.78 0
  1  2  0  0  0  0  -3.01  5.29  255  1.78 0
  1  2  0  0  0  0  -3.01  5.29  255  1.78 0
  1  2  0  0  0  0  -3.01  5.29  255  1.78 0
  4  2  0  0  0  0  -3.01  5.29  255  1.78 0
  51  0  0  0  0  0  -3.01  5.29  255  1.78 0
  51  2  0  0  145.92  -220.14  5.11  -271.23  255  1.78 0
  51  2  0  0  145.92  -220.14  5.11  -271.23  255  1.78 0
  1  2  0  0  145.92  -220.14  5.11  -271.23  255  1.78 0
  1  2  0  0  145.92  -220.14  5.11  -271.23  255  1.78 0
  51  2  0  0  0  0  -3.02  5.29  255  1.78 0
  34  2  0  0  0  0  -3.02  5.29  255  1.8 0
  1  2  0  0  0  0  -3.02  5.29  255  1.8 0
  1  2  0  0  0  0  -3.02  5.29  255  1.8 0
  1  2  0  0  0  0  -3.02  5.29  255  1.8 0
  1  2  0  0  0  0  -3.02  5.29  255  1.8 0
  1  2  0  0  0  0  -3.02  5.29  255  1.8 0
  1  2  0  0  0  0  -3.02  5.29  255  1.8 0
  1  2  0  0  0  0  -3.02  5.29  255  1.8 0
  51  2  0  0  0  0  -3.02  5.29  255  1.8 0
  1  2  0  0  0  0  -3.02  5.29  255  1.8 0
  34  2  0  0  0  0  -3.02  5.29  255  1.79 0
  51  2  0  0  0  0  -3.02  5.29  255  1.79 0
  4  2  0  0  0  0  -3.02  5.29  255  1.79 0
  1  2  0  0  0  0  -3.02  5.29  255  1.79 0
  51  2  0  0  0  0  -3.02  5.29  255  1.79 0
  51  1  0  0  0  0  -3.02  5.29  255  1.79 0
